measure,location,sex,age,cause,metric,year_start,year_end,val,upper,lower
DALYs (Disability-Adjusted Life Years),Middle SDI,Male,Age-standardized,Tuberculosis,Rate,1990,2021,-0.6989375538561231,-0.536828396883372,-0.7496946990274066
DALYs (Disability-Adjusted Life Years),Middle SDI,Female,Age-standardized,Tuberculosis,Rate,1990,2021,-0.7635398072986905,-0.7356407293475007,-0.7843322015536524
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Tuberculosis,Rate,1990,2021,-0.7268202747344472,-0.6469835268463291,-0.7588945277913172
DALYs (Disability-Adjusted Life Years),Middle SDI,Male,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.7186109771377021,-0.5702955309965899,-0.7702872867708477
DALYs (Disability-Adjusted Life Years),Middle SDI,Female,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.7795168233216214,-0.7535993846757112,-0.8086368053273145
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.744890756433041,-0.6716109421495624,-0.7818619078253526
DALYs (Disability-Adjusted Life Years),High-middle SDI,Male,Age-standardized,Tuberculosis,Rate,1990,2021,-0.7644309157355047,-0.6696523802212606,-0.8088505561276529
DALYs (Disability-Adjusted Life Years),High-middle SDI,Female,Age-standardized,Tuberculosis,Rate,1990,2021,-0.8055392113457962,-0.7683702352078535,-0.8301039488148647
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Tuberculosis,Rate,1990,2021,-0.7751576506789607,-0.7203463200650975,-0.8066919669837723
DALYs (Disability-Adjusted Life Years),High-middle SDI,Male,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,-0.07558559157609007,1.8636590150749508,-0.6461048331113792
DALYs (Disability-Adjusted Life Years),High-middle SDI,Female,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,-0.32972256335749406,1.1656875603618087,-0.7368625219979806
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,-0.13792479057912302,1.7222426205964692,-0.6668890752382184
YLDs (Years Lived with Disability),Global,Male,Age-standardized,Tuberculosis,Percent,1990,2021,-0.3838517585654892,-0.3516057855623193,-0.4114527183016455
YLDs (Years Lived with Disability),Global,Female,Age-standardized,Tuberculosis,Percent,1990,2021,-0.4580298124889687,-0.4299324793565394,-0.4859478144520142
YLDs (Years Lived with Disability),Global,Both,Age-standardized,Tuberculosis,Percent,1990,2021,-0.4185883032428669,-0.3904618686650773,-0.4461060393746969
YLDs (Years Lived with Disability),Global,Male,Age-standardized,Tuberculosis,Rate,1990,2021,-0.4004897182351061,-0.3702105911354982,-0.4288434213781957
YLDs (Years Lived with Disability),Global,Female,Age-standardized,Tuberculosis,Rate,1990,2021,-0.4544515067492536,-0.4280298540911693,-0.482056341478718
YLDs (Years Lived with Disability),Global,Both,Age-standardized,Tuberculosis,Rate,1990,2021,-0.4236794750551266,-0.3968518030877181,-0.4513499182214621
YLDs (Years Lived with Disability),Middle SDI,Male,Age-standardized,Drug-susceptible tuberculosis,Percent,1990,2021,-0.4516835979402528,-0.4143372757363306,-0.4839521768179592
YLDs (Years Lived with Disability),Middle SDI,Female,Age-standardized,Drug-susceptible tuberculosis,Percent,1990,2021,-0.5229263493526993,-0.4936897600280406,-0.5527070919468005
YLDs (Years Lived with Disability),Middle SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Percent,1990,2021,-0.487999266509363,-0.4577003799270682,-0.5196375018973372
YLDs (Years Lived with Disability),Middle SDI,Male,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.4628944482474932,-0.4288257437664474,-0.4945299630799918
YLDs (Years Lived with Disability),Middle SDI,Female,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.5208903262227498,-0.4937859753768753,-0.5480393769098546
YLDs (Years Lived with Disability),Middle SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.4911305076989711,-0.4623755910095722,-0.5206595970473067
YLDs (Years Lived with Disability),High SDI,Male,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Percent,1990,2021,-0.2677446328170116,0.644309581432053,-0.6465927081755225
YLDs (Years Lived with Disability),High SDI,Female,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Percent,1990,2021,-0.1331549791611856,0.7999029182523015,-0.5735038158834489
YLDs (Years Lived with Disability),High SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Percent,1990,2021,-0.2089201250349689,0.7302673677552372,-0.610673649430504
YLDs (Years Lived with Disability),High SDI,Male,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,-0.2397529985871612,0.7118999766072724,-0.6325193081326779
YLDs (Years Lived with Disability),High SDI,Female,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,-0.0737340062918333,0.9289851487113396,-0.5448183632290209
YLDs (Years Lived with Disability),High SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,-0.1671986428669518,0.8159995126366298,-0.5900717384271882
YLDs (Years Lived with Disability),High SDI,Male,Age-standardized,Extensively drug-resistant tuberculosis,Percent,1990,2021,0.0,0.0,0.0
YLDs (Years Lived with Disability),High SDI,Female,Age-standardized,Extensively drug-resistant tuberculosis,Percent,1990,2021,0.0,0.0,0.0
YLDs (Years Lived with Disability),High SDI,Both,Age-standardized,Extensively drug-resistant tuberculosis,Percent,1990,2021,0.0,0.0,0.0
YLDs (Years Lived with Disability),High SDI,Male,Age-standardized,Extensively drug-resistant tuberculosis,Rate,1990,2021,0.0,0.0,0.0
YLDs (Years Lived with Disability),High SDI,Female,Age-standardized,Extensively drug-resistant tuberculosis,Rate,1990,2021,0.0,0.0,0.0
YLDs (Years Lived with Disability),High SDI,Both,Age-standardized,Extensively drug-resistant tuberculosis,Rate,1990,2021,0.0,0.0,0.0
