measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Latent tuberculosis infection,Rate,1999,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),High SDI,Both,Age-standardized,Tuberculosis,Rate,1998,60.64975021746311,64.11028875154597,57.159813256384865
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1997,53.178079147238854,90.62670755684762,28.994484709697
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Extensively drug-resistant tuberculosis,Rate,1997,2.76542905323871,4.988427469834603,1.3821874932852956
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Latent tuberculosis infection,Rate,1997,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1997,3058.7575607392646,3354.3740055272233,2726.2973518306135
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1997,122.60307577534897,291.1153050937709,40.400484595532305
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Extensively drug-resistant tuberculosis,Rate,1997,1.745160355079572,3.9547972978914006,0.5731900047991627
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Latent tuberculosis infection,Rate,1997,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1997,1369.0025972254653,1494.5251138976173,1231.3456885504506
DALYs (Disability-Adjusted Life Years),High SDI,Both,Age-standardized,Extensively drug-resistant tuberculosis,Rate,2007,0.2884985615270155,0.5333913017120467,0.1433335221945813
DALYs (Disability-Adjusted Life Years),High SDI,Both,Age-standardized,Latent tuberculosis infection,Rate,2007,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Low SDI,Both,Age-standardized,Tuberculosis,Rate,2007,3567.882840218789,4186.7514205556345,3078.2976534079385
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1997,74.11352620529014,140.49637390803215,34.37451515542968
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Extensively drug-resistant tuberculosis,Rate,1997,1.6525359005502946,3.157003329724121,0.7524958570768667
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Latent tuberculosis infection,Rate,1997,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Tuberculosis,Rate,2007,724.848681928303,762.3347236853491,687.7456625805671
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1999,57.21191503825574,97.02103620295854,31.493250461561782
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Extensively drug-resistant tuberculosis,Rate,1999,4.4078488341468205,7.854078480239683,2.3261427375412023
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Latent tuberculosis infection,Rate,1999,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Tuberculosis,Rate,1999,345.9390391427345,366.9858098535302,323.7340759610026
DALYs (Disability-Adjusted Life Years),High SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1996,64.87195877680585,69.41081859589583,59.940828003059586
DALYs (Disability-Adjusted Life Years),High SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1996,4.29130173445833,7.674551184597789,2.125891151854726
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Tuberculosis,Rate,1996,3203.5025605426126,3500.9630089341244,2841.7283782383356
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,2000,276.2206106794096,310.2595753594925,232.20188936646096
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1998,2982.20010501801,3273.538686274022,2644.070849832096
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1998,141.5497233382026,324.6560908784371,48.34251008524577
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Extensively drug-resistant tuberculosis,Rate,1998,2.3304386214365205,5.271332454055285,0.8038275567633894
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Latent tuberculosis infection,Rate,1998,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),High SDI,Both,Age-standardized,Tuberculosis,Rate,2000,53.04151115549248,56.23042642410105,49.96998892870734
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Tuberculosis,Rate,1998,342.6277921564547,362.15392810114434,317.75290135397466
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Tuberculosis,Rate,1997,355.9943759235981,379.1957384336705,331.06530553225986
DALYs (Disability-Adjusted Life Years),Low SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1997,4890.4798723825315,5814.551836473915,4265.214825825007
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1999,1287.5180974857278,1404.8469646864123,1158.333791154899
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1999,85.56613932029595,165.02329780025033,41.143540003824235
